Journal,Author_Name
Nature Materials,"Geim, A. K."
Nature Materials,"Novoselov, K. S."
Astronomy and Astrophysics,"Shakura, N. I."
Astronomy and Astrophysics,"Sunyaev, R. A."
The Astrophysical Journal Supplement Series,"Spergel, D. N."
The Astrophysical Journal Supplement Series,"Verde, L."
The Astrophysical Journal Supplement Series,"Peiris, H. V."
The Astrophysical Journal Supplement Series,"Komatsu, E."
The Astrophysical Journal Supplement Series,"Nolta, M. R."
The Astrophysical Journal Supplement Series,"Bennett, C. L."
The Astrophysical Journal Supplement Series,"Halpern, M."
The Astrophysical Journal Supplement Series,"Hinshaw, G."
The Astrophysical Journal Supplement Series,"Jarosik, N."
The Astrophysical Journal Supplement Series,"Kogut, A."
The Astrophysical Journal Supplement Series,"Limon, M."
The Astrophysical Journal Supplement Series,"Meyer, S. S."
The Astrophysical Journal Supplement Series,"Page, L."
The Astrophysical Journal Supplement Series,"Tucker, G. S."
The Astrophysical Journal Supplement Series,"Weiland, J. L."
The Astrophysical Journal Supplement Series,"Wollack, E."
The Astrophysical Journal Supplement Series,"Wright, E. L."
Astronomy and Astrophysics Supplement Series,"Bertin, E."
Astronomy and Astrophysics Supplement Series,"Arnouts, S."
Monthly Notices of the Royal Astronomical Society,"Bruzual, G."
Monthly Notices of the Royal Astronomical Society,"Charlot, S."
The Astrophysical Journal,"Salpeter, Edwin E."
Princeton,"Binney, James"
Princeton,"Tremaine, Scott"
Annual Review of Astronomy and Astrophysics,"Kennicutt, Robert C., Jr."
Publications of the Astronomical Society of the Pacific,"Stetson, Peter B."
Publications of the Astronomical Society of the Pacific,"Chabrier, Gilles"
The Astronomical Journal,"Landolt, Arlo U."
Physical Review Letters,"Abbott, B. P."
Physical Review Letters,"Abbott, R."
Physical Review Letters,"Abbott, T. D."
Physical Review Letters,"Abernathy, M. R."
Physical Review Letters,"Acernese, F."
Physical Review Letters,"Ackley, K."
Physical Review Letters,"Adams, C."
Physical Review Letters,"Adams, T."
Physical Review Letters,"Addesso, P."
Physical Review Letters,"Adhikari, R. X."
Physical Review Letters,"Adya, V. B."
Physical Review Letters,"Affeldt, C."
Physical Review Letters,"Agathos, M."
Physical Review Letters,"Agatsuma, K."
Physical Review Letters,"Aggarwal, N."
Physical Review Letters,"Aguiar, O. D."
Physical Review Letters,"Aiello, L."
Physical Review Letters,"Ain, A."
Physical Review Letters,"Ajith, P."
Physical Review Letters,"Allen, B."
Physical Review Letters,"Allocca, A."
Physical Review Letters,"Altin, P. A."
Physical Review Letters,"Anderson, S. B."
Physical Review Letters,"Anderson, W. G."
Physical Review Letters,"Arai, K."
Physical Review Letters,"Arain, M. A."
Physical Review Letters,"Araya, M. C."
Physical Review Letters,"Arceneaux, C. C."
Physical Review Letters,"Areeda, J. S."
Physical Review Letters,"Arnaud, N."
Physical Review Letters,"Arun, K. G."
